,Personality,Title,Sentence,Context,sentiment
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,How this is possible is something of an enigma wrapped in mystery.,"Civil rights, unity, morality, technology, spirituality.",0.998718739
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"The important thing, however, is that I can imagine the Apostle Paul writing a letter to American Christians in 1958 A.D.","Civil rights, unity, morality, technology, spirituality.",0.746482134
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"And here is the letter as it stands before me: I, an apostle of Jesus Christ, by the will of God, to you who are in America, grace and peace be unto you through our Lord and Savior, Jesus Christ.For many years I have longed to be able to come to see you.","Civil rights, unity, morality, technology, spirituality.",0.997267246
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I have heard so much of you and of what you are doing.,"Civil rights, unity, morality, technology, spirituality.",0.999603212
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I have heard of the fascinating and astounding advances that you have made in the scientific realm.,"Civil rights, unity, morality, technology, spirituality.",0.999848127
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I have heard of your dashing subways and flashing aeroplanes.,"Civil rights, unity, morality, technology, spirituality.",0.996107399
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,Through your scientific genius you have been able to dwarf distance and place time in chains.,"Civil rights, unity, morality, technology, spirituality.",0.997316539
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"Yes, you have been able to carve highways through the stratosphere, and so that in your world it is possible to eat breakfast in New York City and supper in Paris, France.","Civil rights, unity, morality, technology, spirituality.",0.998728454
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I have also heard of your skyscraping buildings with their prodigious towers steeping heavenward.,"Civil rights, unity, morality, technology, spirituality.",0.995638072
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"I have heard of your great medical advances which have resulted in the curing of many dread plagues and diseases and, thereby, prolonging your lives and making for greater security and physical well-being.","Civil rights, unity, morality, technology, spirituality.",0.997833431
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,All of that is marvelous.,"Civil rights, unity, morality, technology, spirituality.",0.999877453
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,You can do so many things in your day that I could not do in the Greco-Roman world of my day.,"Civil rights, unity, morality, technology, spirituality.",0.999651432
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,In your age you can travel distances in one day that it took me three months to travel.,"Civil rights, unity, morality, technology, spirituality.",-0.836617649
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,That is wonderful.,"Civil rights, unity, morality, technology, spirituality.",0.999873638
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,You have made tremendous strides in the area of scientific and technological development.,"Civil rights, unity, morality, technology, spirituality.",0.999840498
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"But America, as I look at you from afar, I wonder whether your moral and spiritual progress has been commensurate with your scientific progress.","Civil rights, unity, morality, technology, spirituality.",0.782670677
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,Your poet Thoreau used to talk about improved means to an unimproved end.,"Civil rights, unity, morality, technology, spirituality.",-0.995395482
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,How often this is true.,"Civil rights, unity, morality, technology, spirituality.",0.999261081
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,You have allowed the material means by which you live to outdistance the spiritual ends for which you live.,"Civil rights, unity, morality, technology, spirituality.",0.992439985
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,You have allowed your mentality to outrun your morality.,"Civil rights, unity, morality, technology, spirituality.",-0.949663758
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"You have allowed your civilization to outdistance your culture, and through your scientific genius you have made of the world a neighborhood.","Civil rights, unity, morality, technology, spirituality.",0.999503136
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"But through your moral and spiritual genius, you have failed to make of it a brotherhood.","Civil rights, unity, morality, technology, spirituality.",-0.95197773
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"And so, America, I would urge you to bring your moral advances in line with your scientific advances.","Civil rights, unity, morality, technology, spirituality.",0.998320639
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I am impelled to write you concerning the responsibilities laid upon you to live as Christians in the midst of an unchristian world.,"Civil rights, unity, morality, technology, spirituality.",0.983968496
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,This is what I had to do.,"Civil rights, unity, morality, technology, spirituality.",0.962578595
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,This is what every Christian has to do.,"Civil rights, unity, morality, technology, spirituality.",0.998567343
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,But I understand that there are many Christians in America who give their ultimate allegiance to man-made systems and customs.,"Civil rights, unity, morality, technology, spirituality.",0.975223899
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,They are afraid to be different.,"Civil rights, unity, morality, technology, spirituality.",-0.980179012
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,Their great concern is to be accepted socially.,"Civil rights, unity, morality, technology, spirituality.",0.997559905
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"They live by some such principle as this: “Everybody is doing it, so it must be all right.” Morality is merely group consensus.","Civil rights, unity, morality, technology, spirituality.",-0.963604391
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"In your modern sociological lingo, the mores are accepted as the right ways.","Civil rights, unity, morality, technology, spirituality.",0.999508739
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"You have unconsciously come to believe that right is discovered by taking a sort of Gallup Poll of the majority opinion, and how many are giving their ultimate allegiance to this way.","Civil rights, unity, morality, technology, spirituality.",-0.9765082
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"But American Christians, I must say to you, as I said to the Roman Christians years ago, “Be not conformed to this world, but be ye transformed by the renewing of your mind.” Or as I said to the Philippian Christians, “Ye are a colony of heaven.” This means that although you live in the colony of time your ultimate allegiance is to the empire of eternity.","Civil rights, unity, morality, technology, spirituality.",0.999081373
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,You have a dual citizenry.,"Civil rights, unity, morality, technology, spirituality.",0.9870314
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"You live both in time and eternity, both in heaven and earth.","Civil rights, unity, morality, technology, spirituality.",0.999692321
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"Therefore, your ultimate allegiance is not to the government, not to the state, not to the nation, not to any man-made institution.","Civil rights, unity, morality, technology, spirituality.",-0.616797388
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"The Christian owes his ultimate allegiance to God, and if any earthly institution conflicts with God's will, it is your Christian duty to take a stand against it.","Civil rights, unity, morality, technology, spirituality.",0.901426077
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"You must never allow the transitory, evanescent demands of man-made institutions to take precedence over the eternal demands of the Almighty God.","Civil rights, unity, morality, technology, spirituality.",-0.955189526
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"I understand that you have an economic system in America known as capitalism, and through this economic system you have been able to do wonders.","Civil rights, unity, morality, technology, spirituality.",0.999858022
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"You have become the richest nation in the world, and you have built up the greatest system of production that history has ever known.","Civil rights, unity, morality, technology, spirituality.",0.999846935
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,All of this is marvelous.,"Civil rights, unity, morality, technology, spirituality.",0.999878049
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"But Americans, there is the danger that you will misuse your capitalism.","Civil rights, unity, morality, technology, spirituality.",-0.999415636
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I still contend that money can be the root of all evil.,"Civil rights, unity, morality, technology, spirituality.",-0.960942507
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"It can cause one to live a life of gross materialism, and I'm afraid that many among you are more concerned about making a living than making a life.You are prone to judge the success of your professions by the index of your salary and the size of the wheel base on your automobile rather than the quality of your service to humanity.","Civil rights, unity, morality, technology, spirituality.",-0.998198807
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,The misuse of capitalism can also lead to tragic exploitation.,"Civil rights, unity, morality, technology, spirituality.",-0.998935044
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,This has so often happened in your nation.,"Civil rights, unity, morality, technology, spirituality.",0.997640133
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,They tell me that one-tenth of one percent of the population controls more than forty percent of the wealth.,"Civil rights, unity, morality, technology, spirituality.",-0.99008888
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"Oh, America, how often have you taken necessities from the masses to give luxuries to the classes.","Civil rights, unity, morality, technology, spirituality.",0.884271324
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"If you are to be truly a Christian nation, you must solve this problem.","Civil rights, unity, morality, technology, spirituality.",0.816027045
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"Now, you cannot solve the problem by turning to communism, for communism is based on an ethical relativism and a metaphysical materialism that no Christian can accept.","Civil rights, unity, morality, technology, spirituality.",-0.99270612
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,But you can work within the framework of democracy to bring about a better distribution of wealth.,"Civil rights, unity, morality, technology, spirituality.",0.992102921
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,You can use your powerful economic resources to wipe poverty from the face of the earth.,"Civil rights, unity, morality, technology, spirituality.",0.995764732
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"God never intended for a group of people to live in superfluous, inordinate wealth while others live in abject, deadening poverty.","Civil rights, unity, morality, technology, spirituality.",-0.888272345
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"God intends for all of His children to have the basic necessities of life, and He has left in this universe enough and to spare for that purpose.","Civil rights, unity, morality, technology, spirituality.",-0.985729098
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,So I call upon you to bridge the gulf between abject poverty and superfluous wealth.,"Civil rights, unity, morality, technology, spirituality.",0.997086227
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I would that I could be with you in person so that I could say to you face to face what I am forced to say to you in writing.,"Civil rights, unity, morality, technology, spirituality.",0.8529827
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"Oh, how I long to share your fellowship.","Civil rights, unity, morality, technology, spirituality.",0.994596064
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,Let me rush on to say something about the church.,"Civil rights, unity, morality, technology, spirituality.",0.994852245
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"America, I must remind you, as I have said to so many others, that the church is the body of Christ, and so when the church is true to its nature, it knows neither division nor disunity.","Civil rights, unity, morality, technology, spirituality.",0.997207344
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,But I am disturbed about what you are doing to the body of Christ.,"Civil rights, unity, morality, technology, spirituality.",-0.992771566
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,They tell me that in America you have within Protestantism more than 256 denominations.,"Civil rights, unity, morality, technology, spirituality.",0.991435826
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,The tragedy is not so much that you have such a multiplicity of denominations but that most of them are warring against each other with a claim to absolute truth.,"Civil rights, unity, morality, technology, spirituality.",-0.98330313
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"I am not calling for uniformity, America; I am calling for unity.","Civil rights, unity, morality, technology, spirituality.",0.959120393
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,This narrow sectarianism is destroying the unity of the body of Christ.,"Civil rights, unity, morality, technology, spirituality.",-0.999734461
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"You must come to see that God is not a Baptist, God is not a Methodist, God is not a Presbyterian, God is not an Episcopalian.","Civil rights, unity, morality, technology, spirituality.",0.884078801
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,God is bigger than all of our denominations.,"Civil rights, unity, morality, technology, spirituality.",0.99943763
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"You must come to see that, America.","Civil rights, unity, morality, technology, spirituality.",0.99973911
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,But I must not stop with a criticism of Protestantism.,"Civil rights, unity, morality, technology, spirituality.",0.971396387
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I am disturbed about Roman Catholicism.,"Civil rights, unity, morality, technology, spirituality.",-0.998775065
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,"This church stands before the world with its pomp and power, insisting that it possesses the only truth.","Civil rights, unity, morality, technology, spirituality.",0.971936405
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,It incorporates an arrogance that becomes a dangerous spiritual arrogance.,"Civil rights, unity, morality, technology, spirituality.",-0.997588992
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,It stands with its noble pope who somehow rises to the miraculous heights of infallibility when he speaks ex cathedra.,"Civil rights, unity, morality, technology, spirituality.",0.99863857
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,But I am disturbed about a person or an institution that claims infallibility in this world.,"Civil rights, unity, morality, technology, spirituality.",-0.986529112
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I am disturbed about any church that refuses to cooperate with other churches under the pretense that it is the only true church.,"Civil rights, unity, morality, technology, spirituality.",-0.999054253
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,I must emphasize the fact that God is not a Roman Catholic and that the boundless sweep of his revelation cannot be limit to the Vatican.,"Civil rights, unity, morality, technology, spirituality.",0.994827449
03-06-1958 00:00,Martin Luther King Jr.,Paul's Letter to American Christians,Roman Catholicism must do a great deal to mend its ways.,"Civil rights, unity, morality, technology, spirituality.",-0.889780462
03-06-1958 00:00,Martin Luther King Jr.,I have a dream,I Have a Dream is a public speech delivered by American civil rights activist Martin Luther King Jr.,"Civil rights, equality, justice, dream, freedom",0.98578459
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"during the March on Washington for Jobs and Freedom on August 28, 1963.","Civil rights, equality, justice, dream, freedom",0.765242219
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"In his speech, King called for civil and economic rights and an end to racism in the United States.","Civil rights, equality, justice, dream, freedom",0.994980276
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"I'll provide you with an excerpt from the beginning of this iconic speech: Five score years ago, a great American, in whose symbolic shadow we stand today, signed the Emancipation Proclamation.","Civil rights, equality, justice, dream, freedom",0.994425654
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,This momentous decree came as a great beacon light of hope to millions of Negro slaves who had been seared in the flames of withering injustice.,"Civil rights, equality, justice, dream, freedom",0.998992383
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,It came as a joyous daybreak to end the long night of their captivity.,"Civil rights, equality, justice, dream, freedom",0.998375058
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"But one hundred years later, the Negro still is not free.","Civil rights, equality, justice, dream, freedom",-0.996167004
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"One hundred years later, the life of the Negro is still sadly crippled by the manacles of segregation and the chains of discrimination.","Civil rights, equality, justice, dream, freedom",-0.999380589
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"One hundred years later, the Negro lives on a lonely island of poverty in the midst of a vast ocean of material prosperity.","Civil rights, equality, justice, dream, freedom",0.969186544
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"One hundred years later, the Negro is still languished in the corners of American society and finds himself in exile in his own land.","Civil rights, equality, justice, dream, freedom",-0.819552779
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,So we have come here today to dramatize a shameful condition.,"Civil rights, equality, justice, dream, freedom",-0.985485554
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,In a sense we have come to our nation's capital to cash a check.,"Civil rights, equality, justice, dream, freedom",0.936617553
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"When the architects of our republic wrote the magnificent words of the Constitution and the Declaration of Independence, they were signing a promissory note to which every American was to fall heir.","Civil rights, equality, justice, dream, freedom",0.945988536
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"This note was a promise that all men, yes, black men as well as white men, would be guaranteed the ""unalienable Rights"" of ""Life, Liberty and the pursuit of Happiness."" It is obvious today that America has defaulted on this promissory note, insofar as her citizens of color are concerned.","Civil rights, equality, justice, dream, freedom",-0.94421947
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"Instead of honoring this sacred obligation, America has given the Negro people a bad check, a check which has come back marked ""insufficient funds."" But we refuse to believe that the bank of justice is bankrupt.","Civil rights, equality, justice, dream, freedom",-0.99834764
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,We refuse to believe that there are insufficient funds in the great vaults of opportunity of this nation.,"Civil rights, equality, justice, dream, freedom",-0.996482015
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"And so, we've come to cash this check, a check that will give us upon demand the riches of freedom and the security of justice.","Civil rights, equality, justice, dream, freedom",0.994686842
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,We have also come to this hallowed spot to remind America of the fierce urgency of Now.,"Civil rights, equality, justice, dream, freedom",0.99963975
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,This is no time to engage in the luxury of cooling off or to take the tranquilizing drug of gradualism.,"Civil rights, equality, justice, dream, freedom",-0.992228329
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,Now is the time to make real the promises of democracy.,"Civil rights, equality, justice, dream, freedom",0.999610841
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,Now is the time to rise from the dark and desolate valley of segregation to the sunlit path of racial justice.,"Civil rights, equality, justice, dream, freedom",0.997069538
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,Now is the time to lift our nation from the quicksands of racial injustice to the solid rock of brotherhood.,"Civil rights, equality, justice, dream, freedom",0.999777734
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,Now is the time to make justice a reality for all of God's children.,"Civil rights, equality, justice, dream, freedom",0.998998463
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,It would be fatal for the nation to overlook the urgency of the moment.,"Civil rights, equality, justice, dream, freedom",-0.991053522
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,This sweltering summer of the Negro's legitimate discontent will not pass until there is an invigorating autumn of freedom and equality.,"Civil rights, equality, justice, dream, freedom",0.998986661
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"1963 is not an end, but a beginning.","Civil rights, equality, justice, dream, freedom",-0.637691915
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,Those who hope that the Negro needed to blow off steam and will now be content will have a rude awakening if the nation returns to business as usual.,"Civil rights, equality, justice, dream, freedom",-0.994270205
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,There will be neither rest nor tranquility in America until the Negro is granted his citizenship rights.,"Civil rights, equality, justice, dream, freedom",-0.796465814
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,The whirlwinds of revolt will continue to shake the foundations of our nation until the bright day of justice emerges.,"Civil rights, equality, justice, dream, freedom",0.999247849
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,But there is something that I must say to my people who stand on the warm threshold which leads into the palace of justice.,"Civil rights, equality, justice, dream, freedom",0.998378277
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"In the process of gaining our rightful place, we must not be guilty of wrongful deeds.","Civil rights, equality, justice, dream, freedom",0.937719584
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,Let us not seek to satisfy our thirst for freedom by drinking from the cup of bitterness and hatred.,"Civil rights, equality, justice, dream, freedom",-0.522443175
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,We must forever conduct our struggle on the high plane of dignity and discipline.,"Civil rights, equality, justice, dream, freedom",0.998626232
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,We must not allow our creative protest to degenerate into physical violence.,"Civil rights, equality, justice, dream, freedom",-0.996036589
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"Again and again, we must rise to the majestic heights of meeting physical force with soul force.","Civil rights, equality, justice, dream, freedom",0.999702871
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"The marvelous new militancy which has engulfed the Negro community must not lead us to a distrust of all white people, for many of our white brothers, as evidenced by their presence here today, have come to realize that their destiny is tied up with our destiny.","Civil rights, equality, justice, dream, freedom",0.984655023
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,And they have come to realize that their freedom is inextricably bound to our freedom.,"Civil rights, equality, justice, dream, freedom",0.929617822
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,We cannot walk alone.,"Civil rights, equality, justice, dream, freedom",-0.991135478
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"And as we walk, we must make the pledge that we shall always march ahead.","Civil rights, equality, justice, dream, freedom",0.998621821
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,We cannot turn back.,"Civil rights, equality, justice, dream, freedom",0.998055458
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"There are those who are asking the devotees of civil rights, when will you be satisfied.","Civil rights, equality, justice, dream, freedom",0.881186128
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,We can never be satisfied as long as the Negro is the victim of the unspeakable horrors of police brutality.,"Civil rights, equality, justice, dream, freedom",-0.996143699
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"We can never be satisfied as long as our bodies, heavy with the fatigue of travel, cannot gain lodging in the motels of the highways and the hotels of the cities.","Civil rights, equality, justice, dream, freedom",-0.999606073
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,We cannot be satisfied as long as the Negro's basic mobility is from a smaller ghetto to a larger one.,"Civil rights, equality, justice, dream, freedom",-0.996611774
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,We can never be satisfied as long as our children are stripped of their selfhood and robbed of their dignity by signs stating: for whites only.,"Civil rights, equality, justice, dream, freedom",-0.998648226
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,We cannot be satisfied as long as a Negro in Mississippi cannot vote and a Negro in New York believes he has nothing for which to vote.,"Civil rights, equality, justice, dream, freedom",-0.997203112
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,"No, no, we are not satisfied, and we will not be satisfied until justice rolls down like waters, and righteousness like a mighty stream.I am not unmindful that some of you have come here out of great trials and tribulations.","Civil rights, equality, justice, dream, freedom",0.99824214
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,Some of you have come fresh from narrow jail cells.,"Civil rights, equality, justice, dream, freedom",-0.984842539
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,Some of you have come from areas where your quest for freedom left you battered by the storms of persecution and staggered by the winds of police brutality.,"Civil rights, equality, justice, dream, freedom",-0.987627864
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,You have been the veterans of creative suffering.,"Civil rights, equality, justice, dream, freedom",0.997309566
28-08-1963 00:00,Martin Luther King Jr.,I have a dream,Continue to work with the faith that unearned suffering is redemptive.,"Civil rights, equality, justice, dream, freedom",0.994816482
